File name	Experiment design
HF_20210521_M050-Y950_DIA_1.raw	1:4
HF_20210521_M050-Y950_DIA_2.raw	1:4
HF_20210521_M050-Y950_DIA_3.raw	1:4
HF_20210521_M050-Y950_DIA_4.raw	1:4
HF_20210521_M050-Y950_DIA_5.raw	1:4
HF_20210521_M100-Y900_DIA_1.raw	1:2
HF_20210521_M100-Y900_DIA_2.raw	1:2
HF_20210521_M100-Y900_DIA_3.raw	1:2
HF_20210521_M100-Y900_DIA_4.raw	1:2
HF_20210521_M100-Y900_DIA_5.raw	1:2
HF_20210830_M133-Y867_DIA_2.raw	2:3
HF_20210830_M133-Y867_DIA_3.raw	2:3
HF_20210830_M133-Y867_DIA_4.raw	2:3
HF_20210830_M133-Y867_DIA_6.raw	2:3
HF_20210830_M133-Y867_DIA_7.raw	2:3
HF_20210517_M200-Y800_DIA_2.raw	Ref
HF_20210517_M200-Y800_DIA_3.raw	Ref
HF_20210517_M200-Y800_DIA_4.raw	Ref
HF_20210517_M200-Y800_DIA_5.raw	Ref
HF_20210517_M200-Y800_DIA_6.raw	Ref
HF_20210927_M200-Y800_DIA_2.raw	1:1
HF_20210927_M200-Y800_DIA_3.raw	1:1
HF_20210927_M200-Y800_DIA_4.raw	1:1
HF_20210927_M200-Y800_DIA_5.raw	1:1
HF_20210927_M200-Y800_DIA_6.raw	1:1
HF_20210523_M300-Y700_DIA_1.raw	3:2
HF_20210523_M300-Y700_DIA_2.raw	3:2
HF_20210523_M300-Y700_DIA_3.raw	3:2
HF_20210523_M300-Y700_DIA_4.raw	3:2
HF_20210523_M300-Y700_DIA_5.raw	3:2
HF_20210523_M400-Y600_DIA_1.raw	2:1
HF_20210523_M400-Y600_DIA_2.raw	2:1
HF_20210523_M400-Y600_DIA_3.raw	2:1
HF_20210523_M400-Y600_DIA_4.raw	2:1
HF_20210523_M400-Y600_DIA_5.raw	2:1
