experiment_design	protein_group	relative_error_diann	relative_error_delpi
1:4	sp|P62983|RS27A_MOUSE	40.9753548724201	104.22271866505626
1:4	sp|P97813|PLD2_MOUSE	44.44235227101909	67.93535366911783
1:4	sp|Q9CQW2|ARL8B_MOUSE	48.47272097453958	142.06804185376228
1:4	sp|Q2M3X8|PHAR1_MOUSE;sp|Q501J7|PHAR4_MOUSE		75.27741246287111
1:4	sp|P11798|KCC2A_MOUSE	37.50471470549537	52.98363354158708
1:4	sp|O35425|BOK_MOUSE	46.71177982462721	39.743604501870976
1:4	sp|Q9DCT2|NDUS3_MOUSE	61.39251922666973	60.699654774585724
1:4	sp|P48962|ADT1_MOUSE;sp|P51881|ADT2_MOUSE		40.87993930102167
1:4	sp|Q3UVL4|VPS51_MOUSE	25.762025010206703	3.973297295269873
1:4	sp|Q8C547|HTR5B_MOUSE	37.94760872835495	17.346892868093544
1:4	sp|Q5M8N0|CNRP1_MOUSE	17.368814279126465	57.83279945863098
1:4	sp|P80560|PTPR2_MOUSE;sp|Q60673|PTPRN_MOUSE		61.98112710130614
1:4	sp|P53026|RL10A_MOUSE	49.22113935676008	21.48573847444887
1:4	sp|Q9JK48|SHLB1_MOUSE		1255.591156573076
1:4	sp|P23819|GRIA2_MOUSE;sp|Q9Z2W8|GRIA4_MOUSE		45.81095525910837
1:4	sp|Q9WV55|VAPA_MOUSE	36.598986346710795	80.19443322432093
1:4	sp|A2ALS5|RPGP1_MOUSE	38.699836479099744	14.714375916584132
1:4	sp|Q9DBE8|ALG2_MOUSE	46.38088675727799	54.94935384713002
1:4	sp|Q9CWJ9|PUR9_MOUSE	2.7245875267828845	362.4857538514683
1:4	sp|Q61753|SERA_MOUSE	44.39385087270868	14.016048246088841
1:4	sp|Q61820|RANT_MOUSE		584.0160303515304
1:4	sp|Q68EF4|GRM4_MOUSE	30.90634290139649	10.474301168742329
1:4	sp|P17426|AP2A1_MOUSE;sp|P17427|AP2A2_MOUSE		14.89045653315465
1:4	sp|Q8C437|PEX5R_MOUSE	48.16562458290983	81.3788224805697
1:4	sp|Q99JP7|GGT7_MOUSE	51.65907922055658	11.202159914588904
1:4	sp|Q9D328|NACHO_MOUSE	38.40824898475319	0.9920694750846781
1:4	sp|Q6PIC6|AT1A3_MOUSE;sp|Q6PIE5|AT1A2_MOUSE;sp|Q8VDN2|AT1A1_MOUSE;sp|Q9WV27|AT1A4_MOUSE;sp|Q9Z1W8|AT12A_MOUSE		249.68797795653055
1:4	sp|O54984|GET3_MOUSE	21.394898288666454	231.12122816116533
1:4	sp|Q80X90|FLNB_MOUSE	342.3704950121048	299.9405426595949
1:4	sp|Q61743|KCJ11_MOUSE	43.257610398202104	12.553132407844881
1:4	sp|Q8R1K1|UBAC2_MOUSE	47.34435371731853	126.87273403916723
1:4	sp|Q6P9K9|NRX3A_MOUSE	27.848698570509345	0.8018390825267119
1:4	sp|P28661|SEPT4_MOUSE	15.144231920139806	131.78315283450374
1:4	sp|P13707|GPDA_MOUSE;sp|Q3ULJ0|GPD1L_MOUSE		2.7483811548173476
1:4	sp|Q9D0M5|DYL2_MOUSE	27.423301973868053	89.99361158210333
1:4	sp|P46638|RB11B_MOUSE;sp|P62492|RB11A_MOUSE		56.733781020457805
1:4	sp|Q99LB2|DHRS4_MOUSE	64.21759170755539	1042.9003862619816
1:4	sp|P51791|CLCN3_MOUSE	40.55824765310684	67.56403256873789
1:4	sp|Q8BGF6|ELMD2_MOUSE	46.33610866557666	124.26155535251434
1:4	sp|Q01768|NDKB_MOUSE	41.44862469571301	276.0904357231377
1:4	sp|Q8VBT0|TMX1_MOUSE	48.479078511251274	27.847302723100164
1:4	sp|P62245|RS15A_MOUSE	41.758534354807274	71.47393928948927
1:4	sp|Q9EPL2|CSTN1_MOUSE	41.393132346152484	70.08010883564056
1:4	sp|Q8BMD6|TM260_MOUSE	43.62861907678799	37.57796607590094
1:4	sp|Q14BB9|MA6D1_MOUSE	49.30772614553172	8.540651056113834
1:4	sp|Q9CR21|ACPM_MOUSE	14.27856692684346	347.5002341527732
1:4	sp|P62892|RL39_MOUSE	1089.5336969303178	1013.0645752430815
1:4	sp|Q9R1J0|NSDHL_MOUSE	26.583651475996927	92.05378849456196
1:4	sp|Q01279|EGFR_MOUSE	23.090423574481743	80.74389793767448
1:4	sp|P70452|STX4_MOUSE	21.559854109678255	24.97483285021196
1:4	sp|Q9R0N5|SYT5_MOUSE	10.95852056894474	66.66759716848456
1:4	sp|B0V2N1|PTPRS_MOUSE	37.44975703869742	7.652700700352478
1:4	sp|P16092|FGFR1_MOUSE;sp|P21803|FGFR2_MOUSE;sp|Q03142|FGFR4_MOUSE;sp|Q61851|FGFR3_MOUSE		0.13061299941858895
1:4	sp|O09126|SEM4D_MOUSE	57.69502068927213	90.20934755790404
1:4	sp|P70280|VAMP7_MOUSE	32.10033036634893	42.26384078066987
1:4	sp|Q8BH27|MEGF9_MOUSE	22.60045296884652	86.45941047740055
1:4	sp|Q91ZR1|RAB4B_MOUSE	37.529222600306625	2.1306200428948263
1:4	sp|Q78XF5|OSTC_MOUSE	13.586610818401123	6.912220156731507
1:4	sp|Q61730|IL1AP_MOUSE	38.644368586431156	3.168738845963248
1:4	sp|P26049|GBRA3_MOUSE	27.926029932254494	10.744836713836282
1:4	sp|B2RQA1|KCA10_MOUSE;sp|P16388|KCNA1_MOUSE;sp|P16390|KCNA3_MOUSE;sp|P63141|KCNA2_MOUSE		54.30710898416602
1:4	sp|Q8BGK5|S35F1_MOUSE	62.25558279163528	46.129370205069364
1:4	sp|P17879|HS71B_MOUSE;sp|P63017|HSP7C_MOUSE;sp|Q61696|HS71A_MOUSE		7.565145621229541
1:4	sp|P83887|TBG1_MOUSE;sp|Q8VCK3|TBG2_MOUSE		119.68594835682057
1:4	sp|Q8K3G9|DP13B_MOUSE	69.80524391220406	74.78166223841302
1:4	sp|P56399|UBP5_MOUSE	17.11100731745291	20.09297506733827
1:4	sp|P63328|PP2BA_MOUSE	36.686114981795306	33.26336285313507
1:4	sp|Q8C522|ENDD1_MOUSE	39.86582133194874	11.196176035626081
1:4	sp|Q99K51|PLST_MOUSE	13.01871499609344	69.19851852851563
1:4	sp|Q3TVI8|PBIP1_MOUSE	27.090786579706826	73.95619489460785
1:4	sp|P17182|ENOA_MOUSE;sp|P21550|ENOB_MOUSE		10.137971741078843
1:4	sp|Q61699|HS105_MOUSE	36.8202118820108	37.04352432945217
1:4	sp|Q8CBG9|RN170_MOUSE	43.51013513513513	1.8215717189802305
1:4	sp|Q9D6K8|FUND2_MOUSE	2.648155122926865	17.39357961221031
1:4	sp|P21765|GPX5_MOUSE;sp|P46412|GPX3_MOUSE		9.47326062048095
1:4	sp|Q9EQT6|SYT13_MOUSE	14.477050624239796	8.67091928762883
1:4	sp|O70480|VAMP4_MOUSE	25.679224444717143	108.4406324784022
1:4	sp|Q3TTY5|K22E_MOUSE	133.5247997987506	216.5902241497176
1:4	sp|Q91V01|MBOA5_MOUSE	225.658985033746	196.70285096796954
1:4	sp|Q8K1R7|NEK9_MOUSE	754.1510281757149	2794.7134701848836
1:4	sp|Q9Z0R4|ITSN1_MOUSE;sp|Q9Z0R6|ITSN2_MOUSE		101.53531143909147
1:4	sp|O55023|IMPA1_MOUSE	36.302735280482146	114.43107584005165
1:4	sp|P21460|CYTC_MOUSE	66.51340996168582	6.919918939959979
1:4	sp|Q3V3Q7|PACS2_MOUSE;sp|Q8K212|PACS1_MOUSE		95.5186625055483
1:4	sp|Q3UHK1|MYCT_MOUSE	35.29427237456435	24.578799210448608
1:4	sp|P97461|RS5_MOUSE	136.43298611779656	3.1793494833131652
1:4	sp|P62748|HPCL1_MOUSE	38.2869741061154	13.079573244919374
1:4	sp|P60764|RAC3_MOUSE;sp|P63001|RAC1_MOUSE;sp|Q05144|RAC2_MOUSE		33.33958717218297
1:4	sp|P17742|PPIA_MOUSE	45.89033375487986	38.53290850387625
1:4	sp|P08556|RASN_MOUSE;sp|Q61411|RASH_MOUSE		27.85485725004977
1:4	sp|P20444|KPCA_MOUSE;sp|P68404|KPCB_MOUSE		466.8189105868605
1:4	sp|Q8BM13|NOE2_MOUSE	3.0169390393476325	40.95899104646505
1:4	sp|P31648|SC6A1_MOUSE	41.04412532817307	85.25878972906729
1:4	sp|P11798|KCC2A_MOUSE;sp|Q6PHZ2|KCC2D_MOUSE		82.51670515033238
1:4	sp|P07901|HS90A_MOUSE	22.076569438300396	54.035866193164935
1:4	sp|P68368|TBA4A_MOUSE	47.83067942442181	5.402161770584657
1:4	sp|P19157|GSTP1_MOUSE;sp|P46425|GSTP2_MOUSE		174.00321520289793
1:4	sp|Q8K596|NAC2_MOUSE	49.81381812382889	67.74927341312281
1:4	sp|Q9R0A0|PEX14_MOUSE	28.228523544193607	51.2689072808822
1:4	sp|P55258|RAB8A_MOUSE	28.59456577601237	20.74601833349432
1:4	sp|P97872|FMO5_MOUSE	44.49014041279828	56.73565318016796
1:4	sp|Q08460|KCMA1_MOUSE	30.548572538116257	83.8121584331129
1:4	sp|B5TVM2|ILDR2_MOUSE	36.66502036288855	59.442188182246404
1:4	sp|Q8BHN0|PPM1L_MOUSE	41.33013012494455	84.67109931441581
1:4	sp|P0DP26|CALM1_MOUSE;sp|P0DP27|CALM2_MOUSE;sp|P0DP28|CALM3_MOUSE	32.39127178702908	168.529614716098
1:4	sp|Q9WUC3|LY6H_MOUSE	44.09513831983155	12.753725034542839
1:4	sp|P54754|EPHB3_MOUSE	10.848918232774206	26.527547310730483
1:4	sp|P51906|EAA3_MOUSE	30.485383409160647	200.5286721607486
1:4	sp|Q9CPQ3|TOM22_MOUSE	15.313305865963189	28.396617064934283
1:4	sp|Q99MX0|TKTL1_MOUSE		4.720038781646019
1:4	sp|P17809|GTR1_MOUSE	43.14978378602825	42.93181757410727
1:4	sp|Q8R464|CADM4_MOUSE	34.5624131130581	65.44008483785242
1:4	sp|Q61072|ADAM9_MOUSE	37.045553044864896	11.6293917203948
1:4	sp|Q9CR64|KISHA_MOUSE	27.54720815621454	24.78355718412533
1:4	sp|Q922J6|TSN2_MOUSE		45.43470769610216
1:4	sp|Q6P5F6|S39AA_MOUSE	33.56037019591367	85.54056099484859
1:4	sp|P60710|ACTB_MOUSE;sp|P62737|ACTA_MOUSE;sp|P63260|ACTG_MOUSE;sp|P63268|ACTH_MOUSE;sp|P68033|ACTC_MOUSE;sp|P68134|ACTS_MOUSE		74.06549829697879
1:4	sp|P02535|K1C10_MOUSE	59.28705512776309	141.67638166322902
1:4	sp|Q5M8N4|D39U1_MOUSE	13.468312878175448	4.018456036482343
1:4	sp|P49070|CAMLG_MOUSE	33.696283786487804	25.745501750920475
1:4	sp|Q8VCR2|DHB13_MOUSE;sp|Q9EQ06|DHB11_MOUSE		33.448355904695944
1:4	sp|P27601|GNA13_MOUSE	32.94032609176678	5.577207273297469
