experiment_design	protein_group	cv_diann	cv_delpi
1:4	sp|Q91ZX7|LRP1_MOUSE	0.9436733202811295	3.08867212084478
1:4	sp|P24668|MPRD_MOUSE	9.009623043686679	2.876826245293311
1:4	sp|Q9D051|ODPB_MOUSE	12.558138646616742	20.060500584802853
1:4	sp|P21271|MYO5B_MOUSE;sp|Q99104|MYO5A_MOUSE		12.41375588636381
1:4	sp|Q9QUP5|HPLN1_MOUSE	8.255603013806535	20.49224276036555
1:4	sp|P70699|LYAG_MOUSE	12.479590442881618	2.8500064158601663
1:4	sp|Q9CPU4|MGST3_MOUSE	19.090818225955516	14.798422822001104
1:4	sp|P62264|RS14_MOUSE	11.968622597200781	37.11309007586097
1:4	sp|O70503|DHB12_MOUSE	2.4581054735236965	18.74144877895639
1:4	sp|Q3TTY5|K22E_MOUSE	12.235110527202824	16.180910213671055
1:4	sp|Q8VEH3|ARL8A_MOUSE;sp|Q9CQW2|ARL8B_MOUSE		55.830195910808634
1:4	sp|Q8BUV3|GEPH_MOUSE	1.854632384008874	6.359364330010671
1:4	sp|O08579|EMD_MOUSE	2.5934164011698035	9.906427870448388
1:4	sp|Q6ZWU9|RS27_MOUSE;sp|Q6ZWY3|RS27L_MOUSE		35.71631079478078
1:4	sp|Q9DCS9|NDUBA_MOUSE	23.09530212063942	21.382346686819055
1:4	sp|O08581|KCNK1_MOUSE		15.699931718450488
1:4	sp|P05480|SRC_MOUSE	18.60270725590659	3.860196314405627
1:4	sp|Q920R6|VPP4_MOUSE;sp|Q9Z1G4|VPP1_MOUSE		13.551577785516756
1:4	sp|P41216|ACSL1_MOUSE;sp|Q8JZR0|ACSL5_MOUSE		22.53589274074702
1:4	sp|Q8C1B7|SEP11_MOUSE	4.649278365566546	16.1953961735843
1:4	sp|Q6P9K9|NRX3A_MOUSE;sp|Q9CS84|NRX1A_MOUSE		14.15482100808523
1:4	sp|Q8BXR1|S7A14_MOUSE	0.7312691631618671	16.75413004926175
1:4	sp|Q8BH47|SC22A_MOUSE	17.17315507586994	33.73311716333539
1:4	sp|O35643|AP1B1_MOUSE	5.572892311973135	4.338286916483187
1:4	sp|P58158|B3GA3_MOUSE	25.809088892883906	12.483179756187692
1:4	sp|P56395|CYB5_MOUSE	5.043693483386214	13.004572009721748
1:4	sp|Q14BI2|GRM2_MOUSE;sp|Q68EF4|GRM4_MOUSE		8.433916432888894
1:4	sp|P11881|ITPR1_MOUSE;sp|Q9Z329|ITPR2_MOUSE		17.809214429084918
1:4	sp|Q9WV55|VAPA_MOUSE	5.263536677901747	13.300381397131508
1:4	sp|Q08460|KCMA1_MOUSE	5.117466566664539	43.56837710664575
1:4	sp|Q9R1P3|PSB2_MOUSE	13.922890806650127	20.37561172865892
1:4	sp|A2AJI0|MA7D1_MOUSE	8.602230535969731	15.14835791604344
1:4	sp|P62874|GBB1_MOUSE;sp|P62880|GBB2_MOUSE		10.722180804888486
1:4	sp|P62761|VISL1_MOUSE;sp|Q8BGZ1|HPCL4_MOUSE		28.944094652678174
1:4	sp|P05213|TBA1B_MOUSE;sp|P68368|TBA4A_MOUSE;sp|P68373|TBA1C_MOUSE;sp|Q9JJZ2|TBA8_MOUSE		91.67623249309582
1:4	sp|Q80VP9|ASPH2_MOUSE	14.896392747038453	33.69568030891049
1:4	sp|Q9ESX5|DKC1_MOUSE		44.59227559181829
1:4	sp|P63094|GNAS2_MOUSE;sp|Q6R0H7|GNAS1_MOUSE;sp|Q8CGK7|GNAL_MOUSE		23.95440686114022
1:4	sp|Q9JII6|AK1A1_MOUSE	15.693251783652617	30.003242289700303
1:4	sp|Q9CZT8|RAB3B_MOUSE	7.936470309425127	35.81032076097442
1:4	sp|Q9Z1R2|BAG6_MOUSE	5.922472206350832	15.404094828677572
1:4	sp|Q8CJ61|CKLF4_MOUSE	43.98282246938684	4.025457658497459
1:4	sp|Q99ME9|GTPB4_MOUSE	4.704402346680758	28.84466216849907
1:4	sp|P27546|MAP4_MOUSE	12.62650085700057	24.585706914389664
1:4	sp|P31254|UBA1Y_MOUSE;sp|Q02053|UBA1_MOUSE		19.596045483220326
1:4	sp|Q3UGP8|AG10B_MOUSE	28.629490459681488	58.152171530999865
1:4	sp|Q8BRT1|CLAP2_MOUSE	7.73264195649935	30.17923283677809
1:4	sp|Q7TQ95|LNP_MOUSE	4.07882244190451	14.377252534784638
1:4	sp|P18760|COF1_MOUSE	3.3253324448886596	27.287333540971154
1:4	sp|Q7TMM9|TBB2A_MOUSE;sp|Q9CWF2|TBB2B_MOUSE		40.72738366631133
1:4	sp|Q99JI6|RAP1B_MOUSE		28.0820408799253
1:4	sp|P39087|GRIK2_MOUSE	38.32425498515896	38.86750302016526
1:4	sp|P40749|SYT4_MOUSE		21.26754512060025
1:4	sp|Q3U1J4|DDB1_MOUSE	16.636715433820946	9.939604436709388
1:4	sp|O88444|ADCY1_MOUSE	7.333274932491404	34.97921744114192
1:4	sp|P0DP26|CALM1_MOUSE;sp|P0DP27|CALM2_MOUSE;sp|P0DP28|CALM3_MOUSE;sp|Q9D6P8|CALL3_MOUSE		10.009795461318953
1:4	sp|Q8C052|MAP1S_MOUSE	19.62799967389673	16.079048791468974
1:4	sp|Q9D0K1|PEX13_MOUSE	33.19883145899079	34.981351691242516
1:4	sp|Q61699|HS105_MOUSE	7.812307827315067	19.36910583503826
1:4	sp|Q8C0Z1|F234A_MOUSE	41.51852322913162	114.71170926544394
1:4	sp|P08003|PDIA4_MOUSE	50.72267917870791	73.29265879950377
1:4	sp|Q9WVK8|CP46A_MOUSE	4.7316486824797925	7.879860615716691
1:4	sp|Q8BGK9|CC018_MOUSE	9.902943823699479	21.73797066506636
1:4	sp|Q9Z2A7|DGAT1_MOUSE		37.63279444639469
1:4	sp|O09044|SNP23_MOUSE	4.001223110631926	25.337175219104065
1:4	sp|P26443|DHE3_MOUSE	8.01093085045589	15.193603093150601
1:4	sp|Q80WM4|HPLN4_MOUSE	14.256441876303539	14.423464554279866
1:4	sp|Q62188|DPYL3_MOUSE	43.35975853741041	20.378360024748954
1:4	sp|Q80UG2|PLXA4_MOUSE	2.5437832092768735	15.500812265703809
1:4	sp|Q9QZB9|DCTN5_MOUSE	65.6479605626866	40.568384837203766
1:4	sp|Q6NZL0|SOGA3_MOUSE	2.6541537281516474	9.791126489207372
1:4	sp|P05214|TBA3_MOUSE;sp|P68369|TBA1A_MOUSE		30.477715340765453
1:4	sp|P50396|GDIA_MOUSE	6.051627348544934	4.8334404622584515
1:4	sp|Q91ZV0|MIA2_MOUSE	11.212662452914577	18.413356535867106
1:4	sp|Q9CY27|TECR_MOUSE	3.594160821394089	16.012074899303098
1:4	sp|Q6TEK5|VKORL_MOUSE	8.359495617061764	20.545571458058635
1:4	sp|P06795|MDR1B_MOUSE;sp|P21440|MDR3_MOUSE;sp|P21447|MDR1A_MOUSE		19.560543523535863
1:4	sp|P62814|VATB2_MOUSE;sp|Q91YH6|VATB1_MOUSE		15.900356224809627
1:4	sp|Q61831|MK10_MOUSE;sp|Q9WTU6|MK09_MOUSE		16.26591041559017
1:4	sp|P09470|ACE_MOUSE	16.753196179203584	12.878026185914052
1:4	sp|Q9Z239|PLM_MOUSE		15.255473821022386
1:4	sp|Q62165|DAG1_MOUSE	44.97266190290873	11.17922151146454
1:4	sp|Q810C1|SLIK1_MOUSE	4.706615148793461	19.486407470103895
1:4	sp|P62806|H4_MOUSE	4.93093247559305	5.774661277197397
1:4	sp|P17047|LAMP2_MOUSE	3.1709600211228977	6.1393486583384025
1:4	sp|P56371|RAB4A_MOUSE;sp|Q91ZR1|RAB4B_MOUSE		39.15710097909606
1:4	sp|P98195|ATP9B_MOUSE	10.145963768783677	5.950526216569861
1:4	sp|P30275|KCRU_MOUSE;sp|Q6P8J7|KCRS_MOUSE		48.17624303642694
1:4	sp|Q7M750|OPALI_MOUSE	18.432859771248754	33.28565691717857
1:4	sp|Q7TQK5|CCD93_MOUSE	3.609392245923225	5.54741365161366
1:4	sp|E9PZQ0|RYR1_MOUSE;sp|E9Q401|RYR2_MOUSE		11.548440157871807
1:4	sp|Q3UHL1|CAMKV_MOUSE	8.947345621149651	6.605995965822398
1:4	sp|P16627|HS71L_MOUSE		52.696053560687794
1:4	sp|Q6NXK7|DPP10_MOUSE	5.019338445990748	10.033966695672078
1:4	sp|Q9JKK1|STX6_MOUSE	2.8300637515333897	12.94697694336934
1:4	sp|O35598|ADA10_MOUSE	12.032832912810536	38.9148830986582
1:4	sp|Q9QZ06|TOLIP_MOUSE	25.50411742364212	1.6898484211461406
1:4	sp|Q99KI0|ACON_MOUSE	4.784179786972027	9.4715999075372
1:4	sp|P20444|KPCA_MOUSE;sp|P28867|KPCD_MOUSE;sp|P68404|KPCB_MOUSE;sp|Q02111|KPCT_MOUSE		31.652532973285048
1:4	sp|Q60875|ARHG2_MOUSE	1.993287373520594	15.21392372106661
1:4	sp|Q3USB7|PLCL1_MOUSE	28.4436672671176	35.886224628697654
1:4	sp|Q9WV34|MPP2_MOUSE	147.24089610169347	24.94184241363558
1:4	sp|Q9Z1W8|AT12A_MOUSE		12.438482768618147
1:4	sp|Q99KI3|EMC3_MOUSE	9.519529603738512	7.096207318706585
1:4	sp|Q3UHK1|MYCT_MOUSE	11.384276813050612	14.174061830518148
1:4	sp|P05532|KIT_MOUSE	40.51585001788441	7.142169872746098
1:4	sp|Q8C996|TM163_MOUSE	4.23553730302504	29.672648693003335
1:4	sp|Q6A152|CP4X1_MOUSE	15.284673083024657	41.016689926107084
1:4	sp|A2ASI5|SCN3A_MOUSE;sp|B1AWN6|SCN2A_MOUSE;sp|Q62205|SCN9A_MOUSE;sp|Q9ER60|SCN4A_MOUSE		21.54191303339949
1:4	sp|Q9CPR4|RL17_MOUSE	10.056499582508877	1.1982185124904587
1:4	sp|P47856|GFPT1_MOUSE;sp|Q9Z2Z9|GFPT2_MOUSE		15.661425578397258
1:4	sp|Q68FF6|GIT1_MOUSE	38.90389211536123	5.1915030560919675
1:4	sp|Q60931|VDAC3_MOUSE	2.654304680972643	11.007473186499253
1:4	sp|Q9JL62|GLTP_MOUSE		30.02589406544423
1:4	sp|P97445|CAC1A_MOUSE;sp|Q61290|CAC1E_MOUSE		28.81368805919746
1:4	sp|Q9Z2W8|GRIA4_MOUSE	7.730827195566927	49.75159108941896
1:4	sp|Q60771|CLD11_MOUSE	10.654586146400215	38.19707308782237
1:4	sp|P56391|CX6B1_MOUSE	32.154452071741055	25.927216653007427
1:4	sp|O55125|NIPS1_MOUSE		23.51627143441726
1:4	sp|P39054|DYN2_MOUSE;sp|Q8BZ98|DYN3_MOUSE		22.986637997294753
1:4	sp|P05214|TBA3_MOUSE		11.757931703936455
1:4	sp|O54901|OX2G_MOUSE	6.342859409725094	17.97372799757781
1:4	sp|O08553|DPYL2_MOUSE;sp|P97427|DPYL1_MOUSE		5.364745817449788
